codProp;nomeProp;dataVotacao
13749;PDC 381/1999;17/10/2001
14541;PEC 203/1995;11/12/2001
14570;PEC 222/2000;17/10/2001
14570;PEC 222/2000;17/10/2001
14570;PEC 222/2000;17/10/2001
14570;PEC 222/2000;17/10/2001
14570;PEC 222/2000;17/10/2001
14570;PEC 222/2000;05/12/2001
14570;PEC 222/2000;05/12/2001
14647;PEC 277/2000;02/10/2001
14647;PEC 277/2000;10/10/2001
14665;PEC 289/2000;23/10/2001
14694;PEC 308/1996;22/08/2001
14694;PEC 308/1996;22/08/2001
14694;PEC 308/1996;25/09/2001
14784;PEC 472/1997;06/06/2001
14784;PEC 472/1997;20/06/2001
14784;PEC 472/1997;20/06/2001
14784;PEC 472/1997;01/08/2001
14848;PEC 610/1998;06/11/2001
14848;PEC 610/1998;05/12/2001
14848;PEC 610/1998;05/12/2001
14848;PEC 610/1998;05/12/2001
17146;PL 1733/1996;19/06/2001
17715;PL 2155/1999;20/03/2001
19125;PL 3115/1997;28/03/2001
19333;PL 3242/2000;19/06/2001
19377;PL 3267/2000;20/06/2001
19804;PL 3524/2000;21/03/2001
19978;PL 3639/2000;28/03/2001
20004;PL 3657/1989;27/03/2001
20162;PL 3755/2000;13/03/2001
20588;PL 3998/2001;04/04/2001
21320;PLP 8/1999;17/04/2001
21320;PLP 8/1999;17/04/2001
21320;PLP 8/1999;18/04/2001
21320;PLP 8/1999;18/04/2001
21320;PLP 8/1999;18/04/2001
21320;PLP 8/1999;24/04/2001
21321;PLP 9/1999;28/08/2001
21321;PLP 9/1999;28/08/2001
21321;PLP 9/1999;29/08/2001
21321;PLP 9/1999;29/08/2001
21321;PLP 9/1999;29/08/2001
21321;PLP 9/1999;19/09/2001
21321;PLP 9/1999;23/10/2001
21321;PLP 9/1999;30/10/2001
21321;PLP 9/1999;30/10/2001
21321;PLP 9/1999;07/11/2001
21322;PLP 10/1999;25/04/2001
21322;PLP 10/1999;25/04/2001
21322;PLP 10/1999;25/04/2001
21344;PLP 23/1999;03/04/2001
21486;PLP 116/2000;06/02/2001
21486;PLP 116/2000;20/02/2001
21551;PLP 155/2000;22/08/2001
21611;PLP 242/1998;22/08/2001
21758;PRC 106/1992;04/09/2001
21758;PRC 106/1992;05/09/2001
21758;PRC 106/1992;03/10/2001
21955;REC 52/1999;07/06/2001
22045;REC 113/2000;20/02/2001
26057;PLP 177/2001;16/05/2001
26057;PLP 177/2001;17/05/2001
26057;PLP 177/2001;22/05/2001
26057;PLP 177/2001;22/05/2001
26057;PLP 177/2001;22/05/2001
26057;PLP 177/2001;22/05/2001
26057;PLP 177/2001;22/05/2001
26057;PLP 177/2001;23/05/2001
26057;PLP 177/2001;23/05/2001
26352;PL 4143/2001;07/08/2001
26378;PL 4177/2001;04/04/2001
26378;PL 4177/2001;11/12/2001
26523;PLP 183/2001;12/12/2001
26551;PL 4210/2001;15/05/2001
27191;PLP 195/2001;23/05/2001
27191;PLP 195/2001;29/05/2001
27191;PLP 195/2001;29/05/2001
27191;PLP 195/2001;29/05/2001
27191;PLP 195/2001;29/05/2001
27191;PLP 195/2001;30/05/2001
27191;PLP 195/2001;30/05/2001
27191;PLP 195/2001;30/05/2001
27191;PLP 195/2001;30/05/2001
27191;PLP 195/2001;30/05/2001
29133;REC 144/2001;16/08/2001
29477;MSC 527/2001;01/08/2001
32149;PRC 176/2001;21/08/2001
33846;PL 5470/2001;07/11/2001
33846;PL 5470/2001;12/12/2001
33868;PL 5483/2001;27/11/2001
33868;PL 5483/2001;27/11/2001
33868;PL 5483/2001;28/11/2001
33868;PL 5483/2001;04/12/2001
33868;PL 5483/2001;04/12/2001
37642;MPV 7/2001;06/12/2001
37642;MPV 7/2001;11/12/2001
14541;PEC 203/1995;26/02/2002
14665;PEC 289/2000;23/04/2002
16176;PL 1037/1999;09/05/2002
21306;PLP 1/1991;18/12/2002
26553;PL 4203/2001;06/03/2002
26553;PL 4203/2001;12/03/2002
32428;PEC 407/2001;20/02/2002
32428;PEC 407/2001;20/02/2002
32428;PEC 407/2001;27/02/2002
32428;PEC 407/2001;27/02/2002
32428;PEC 407/2001;19/03/2002
32428;PEC 407/2001;19/03/2002
32428;PEC 407/2001;19/03/2002
32428;PEC 407/2001;20/03/2002
32428;PEC 407/2001;20/03/2002
32428;PEC 407/2001;20/03/2002
32428;PEC 407/2001;23/04/2002
32428;PEC 407/2001;23/04/2002
41618;MPV 11/2001;26/02/2002
43617;PLP 275/2001;18/12/2002
44297;MPV 14/2001;10/04/2002
44297;MPV 14/2001;10/04/2002
44297;MPV 14/2001;10/04/2002
44311;MPV 15/2001;11/04/2002
44311;MPV 15/2001;11/04/2002
44740;MPV 16/2001;16/04/2002
44958;MPV 22/2002;17/04/2002
44963;MPV 26/2002;17/04/2002
45845;REC 211/2002 => PDC 1621/2002;24/04/2002
51232;PL 6770/2002;11/12/2002
51232;PL 6770/2002;12/12/2002
53368;REC 238/2002;18/06/2002
59119;PEC 559/2002;12/12/2002
59119;PEC 559/2002;18/12/2002
59119;PEC 559/2002;18/12/2002
65213;MPV 44/2002;05/11/2002
69840;MPV 66/2002;11/12/2002
89577;MPV 70/2002;27/11/2002
98814;PLP 347/2002;11/12/2002
98814;PLP 347/2002;11/12/2002
100739;PLP 349/2002;11/12/2002
100739;PLP 349/2002;11/12/2002
14312;PEC 53/1999;02/04/2003
14312;PEC 53/1999;02/04/2003
14312;PEC 53/1999;15/05/2003
14614;PEC 254/2000;19/11/2003
14614;PEC 254/2000;18/12/2003
14692;PEC 306/2000;02/07/2003
14692;PEC 306/2000;30/07/2003
14832;PEC 575/1998;02/12/2003
18480;PL 2681/1996;19/03/2003
19706;PL 3464/2000;30/07/2003
20125;PL 3731/1997;25/06/2003
20846;PL 4376/1993;15/10/2003
20969;PL 4572/1998;19/08/2003
20969;PL 4572/1998;19/08/2003
21391;PLP 52/1999;03/12/2003
26694;PL 4285/2001;18/11/2003
31767;PL 5073/2001;18/11/2003
32147;PLP 224/2001;03/12/2003
43733;MSC 48/2002;25/02/2003
54307;PEC 544/2002;19/11/2003
66837;PL 7136/2002;30/07/2003
102569;MPV 79/2002;12/03/2003
102569;MPV 79/2002;18/03/2003
102704;MPV 80/2002;26/02/2003
104464;PL 58/2003;12/06/2003
104934;MPV 82/2002;26/03/2003
104934;MPV 82/2002;23/04/2003
105445;MPV 86/2002;01/04/2003
105490;MPV 94/2002;22/04/2003
105503;MPV 103/2003;15/04/2003
105504;MPV 104/2003;23/04/2003
105506;MPV 106/2003;08/04/2003
105507;MPV 107/2003;29/04/2003
105507;MPV 107/2003;29/04/2003
105507;MPV 107/2003;30/04/2003
105507;MPV 107/2003;06/05/2003
105507;MPV 107/2003;06/05/2003
105507;MPV 107/2003;06/05/2003
105507;MPV 107/2003;27/05/2003
107630;PL 475/2003;19/11/2003
111346;MPV 114/2003;20/05/2003
112201;MPV 116/2003;22/05/2003
112201;MPV 116/2003;28/05/2003
112202;MPV 117/2003;28/05/2003
112202;MPV 117/2003;29/05/2003
112203;MPV 118/2003;03/06/2003
113716;PEC 40/2003;05/08/2003
113716;PEC 40/2003;05/08/2003
113716;PEC 40/2003;05/08/2003
113716;PEC 40/2003;06/08/2003
113716;PEC 40/2003;06/08/2003
113716;PEC 40/2003;06/08/2003
113716;PEC 40/2003;06/08/2003
113716;PEC 40/2003;06/08/2003
113716;PEC 40/2003;07/08/2003
113716;PEC 40/2003;07/08/2003
113716;PEC 40/2003;07/08/2003
113716;PEC 40/2003;07/08/2003
113716;PEC 40/2003;13/08/2003
113716;PEC 40/2003;13/08/2003
113716;PEC 40/2003;13/08/2003
113716;PEC 40/2003;13/08/2003
113716;PEC 40/2003;13/08/2003
113716;PEC 40/2003;26/08/2003
113716;PEC 40/2003;27/08/2003
113716;PEC 40/2003;27/08/2003
113716;PEC 40/2003;27/08/2003
113716;PEC 40/2003;27/08/2003
113717;PEC 41/2003;02/09/2003
113717;PEC 41/2003;02/09/2003
113717;PEC 41/2003;03/09/2003
113717;PEC 41/2003;04/09/2003
113717;PEC 41/2003;10/09/2003
113717;PEC 41/2003;10/09/2003
113717;PEC 41/2003;10/09/2003
113717;PEC 41/2003;10/09/2003
113717;PEC 41/2003;10/09/2003
113717;PEC 41/2003;10/09/2003
113717;PEC 41/2003;10/09/2003
113717;PEC 41/2003;10/09/2003
113717;PEC 41/2003;16/09/2003
113717;PEC 41/2003;16/09/2003
113717;PEC 41/2003;16/09/2003
113717;PEC 41/2003;16/09/2003
113717;PEC 41/2003;16/09/2003
113717;PEC 41/2003;16/09/2003
113717;PEC 41/2003;16/09/2003
113717;PEC 41/2003;17/09/2003
113717;PEC 41/2003;17/09/2003
113717;PEC 41/2003;17/09/2003
113717;PEC 41/2003;17/09/2003
113717;PEC 41/2003;17/09/2003
113717;PEC 41/2003;17/09/2003
113717;PEC 41/2003;17/09/2003
113717;PEC 41/2003;24/09/2003
113717;PEC 41/2003;24/09/2003
113717;PEC 41/2003;24/09/2003
113717;PEC 41/2003;24/09/2003
113717;PEC 41/2003;24/09/2003
113717;PEC 41/2003;24/09/2003
113717;PEC 41/2003;24/09/2003
115155;PLP 41/2003;04/06/2003
116719;MSC 199/2003 => PEC 175/1995;04/06/2003
116897;PL 1083/2003;10/06/2003
116898;PL 1084/2003;10/06/2003
116898;PL 1084/2003;11/06/2003
119684;PLP 58/2003;12/06/2003
119684;PLP 58/2003;12/06/2003
121433;MPV 120/2003;29/07/2003
121433;MPV 120/2003;29/07/2003
124115;MPV 121/2003;12/08/2003
124115;MPV 121/2003;12/08/2003
124115;MPV 121/2003;12/08/2003
124115;MPV 121/2003;12/08/2003
124116;MPV 122/2003;12/08/2003
124899;PL 1503/2003;01/10/2003
125572;PLP 72/2003;31/07/2003
125572;PLP 72/2003;31/07/2003
125572;PLP 72/2003;08/10/2003
125572;PLP 72/2003;15/10/2003
125572;PLP 72/2003;15/10/2003
125572;PLP 72/2003;15/10/2003
125572;PLP 72/2003;15/10/2003
125572;PLP 72/2003;15/10/2003
125878;PL 1555/2003;23/10/2003
126040;MPV 124/2003;28/08/2003
126143;PLP 73/2003;30/07/2003
127970;MPV 125/2003;15/09/2003
127970;MPV 125/2003;15/09/2003
127970;MPV 125/2003;15/09/2003
127970;MPV 125/2003;16/09/2003
127989;MPV 126/2003;16/09/2003
127989;MPV 126/2003;16/09/2003
127989;MPV 126/2003;16/09/2003
130914;PL 1840/2003;26/11/2003
130914;PL 1840/2003;02/12/2003
130914;PL 1840/2003;02/12/2003
130914;PL 1840/2003;02/12/2003
132375;PL 1936/2003;28/10/2003
133825;MPV 129/2003;25/11/2003
133827;MPV 130/2003;25/11/2003
133827;MPV 130/2003;25/11/2003
135255;MPV 131/2003;12/11/2003
138604;MPV 132/2003;17/12/2003
138604;MPV 132/2003;17/12/2003
139375;MPV 133/2003;17/12/2003
140406;MPV 135/2003;18/12/2003
140406;MPV 135/2003;18/12/2003
140406;MPV 135/2003;18/12/2003
140406;MPV 135/2003;18/12/2003
14614;PEC 254/2000;24/03/2004
14832;PEC 575/1998;24/03/2004
36162;PEC 438/2001;11/08/2004
97884;PEC 574/2002;12/05/2004
97884;PEC 574/2002;12/05/2004
97884;PEC 574/2002;26/05/2004
106616;PDC 13/2003;22/01/2004
109175;PLP 22/2003;11/08/2004
120186;PEC 101/2003;19/05/2004
120186;PEC 101/2003;19/05/2004
125572;PLP 72/2003;14/12/2004
125572;PLP 72/2003;14/12/2004
125572;PLP 72/2003;14/12/2004
125572;PLP 72/2003;14/12/2004
126541;PLP 76/2003;01/06/2004
126541;PLP 76/2003;11/08/2004
130685;MSC 411/2003;12/05/2004
140174;PL 2399/2003;01/06/2004
140174;PL 2399/2003;01/06/2004
140174;PL 2399/2003;11/08/2004
140375;PL 2401/2003;21/01/2004
140375;PL 2401/2003;04/02/2004
140375;PL 2401/2003;05/02/2004
143020;MPV 136/2003;21/01/2004
144047;PL 2546/2003;21/01/2004
145549;MPV 140/2003;03/02/2004
145549;MPV 140/2003;02/03/2004
147818;MPV 139/2003;27/01/2004
147818;MPV 139/2003;28/01/2004
147818;MPV 139/2003;03/02/2004
148770;MPV 143/2003;03/03/2004
148775;MPV 144/2003;28/01/2004
148775;MPV 144/2003;28/01/2004
148775;MPV 144/2003;28/01/2004
148775;MPV 144/2003;28/01/2004
149095;MPV 147/2003;23/03/2004
149101;MPV 148/2003;10/03/2004
149109;MPV 141/2003;09/03/2004
150357;MPV 153/2003;06/04/2004
150357;MPV 153/2003;13/04/2004
150357;MPV 153/2003;14/04/2004
150357;MPV 153/2003;14/04/2004
150357;MPV 153/2003;27/04/2004
150358;MPV 154/2003;11/03/2004
150358;MPV 154/2003;11/03/2004
150359;MPV 155/2003;27/04/2004
150359;MPV 155/2003;27/04/2004
150373;MPV 160/2003;13/04/2004
150373;MPV 160/2003;13/04/2004
150399;PEC 227/2004;08/07/2004
150399;PEC 227/2004;15/12/2004
150410;PEC 228/2004;24/03/2004
150410;PEC 228/2004;31/03/2004
151648;MPV 161/2004;11/03/2004
153158;MSC 62/2004;17/02/2004
153730;MPV 165/2004;30/03/2004
153730;MPV 165/2004;30/03/2004
153730;MPV 165/2004;30/03/2004
154465;MPV 166/2004;28/04/2004
154528;MPV 167/2004;04/05/2004
154528;MPV 167/2004;04/05/2004
154528;MPV 167/2004;04/05/2004
154528;MPV 167/2004;04/05/2004
154528;MPV 167/2004;05/05/2004
154528;MPV 167/2004;05/05/2004
154538;MPV 168/2004;23/03/2004
