preco,condominio,IPTU,metros_quadrados,quartos,banheiros,vagas,endereco
2950000,NA,NA,539,4 ,5 ,3 - 5 ,"Rua José Maria Rodrigues, Barra da Tijuca"
Sob consulta,NA,NA,44,2 ,1 ,2 ,"Rodovia Vereador Abel Fabricio Dias, Loteamento Industrial Agua Preta"
Sob consulta,NA,NA,117,3 ,2 ,2 ,"Estrada Municipal Antonio Marçom, Nossa Senhora do Perpétuo Socorro"
8000000,1900,20000,1000,4 ,6 ,4 ,"Itanhangá, Rio de Janeiro"
3200000,NA,14427,633,6 ,7 ,6 ,"Cosme Velho, Rio de Janeiro"
1600000,890,400,300,4 ,6 ,4 ,"Avenida das Américas, Recreio Dos Bandeirantes"
1500000,60000,NA,270,5 ,7 ,4 ,"Rua Lagoa Bonita, Vargem Grande"
1150000,NA,3700,330,7 ,8 ,8 ,"Rua Bom Retiro, Jardim Guanabara"
220000,NA,NA,66,2 ,2 ,2 ,"Rua Seabra Filho, Inhoaíba"
1350000,NA,NA,240,6 ,3 ,1 ,"Rua Oliveira da Silva, Tijuca"
1192990,550,NA,180,4 ,5 ,2 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
220000,NA,698,120,4 ,3 ,1 ,"Campo Grande, Rio de Janeiro"
355000,100,NA,128,2 ,2 ,3 ,"Rua Jacinto Figueira Júnior, Campo Grande"
2980000,NA,NA,220,4 ,4 ,2 ,"Urca, Rio de Janeiro"
640000,150,NA,450,3 ,4 ,2 ,"Avenida Tenente-Coronel Muniz de Aragão, Anil"
1100000,840,3843,600,6 ,8 ,4 ,"Rua Professor Sílvio Fialho, Anil"
1300000,1000,NA,220,4 ,4 ,2 ,"Avenida Miguel Antônio Fernandes, Recreio Dos Bandeirantes"
1500000,1400,500,300,5 ,5 ,4 ,"Avenida das Américas, Barra da Tijuca"
949990,550,NA,220,5 ,6 ,4 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
350000,NA,2450,400,4 ,4 ,3 ,"Rua Sambaetiba, Padre Miguel"
2400000,1500,800,320,4 ,6 ,2 ,"Rua Abel da Silva, Barra da Tijuca"
1650000,450,300,292,5 ,7 ,3 ,"Rua Ituverava, Anil"
949990,550,NA,220,5 ,5 ,4 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
176000,NA,NA,70,2 ,2 ,2 ,"Avenida Cesário de Melo, Campo Grande"
2950000,NA,NA,539,4 ,5 ,3 - 5 ,"Rua José Maria Rodrigues, Barra da Tijuca"
Sob consulta,NA,NA,44,2 ,1 ,2 ,"Rodovia Vereador Abel Fabricio Dias, Loteamento Industrial Agua Preta"
Sob consulta,NA,NA,117,3 ,2 ,2 ,"Estrada Municipal Antonio Marçom, Nossa Senhora do Perpétuo Socorro"
90000,NA,NA,200,2 ,1 ,NA,"Estrada Santa Maria, Campo Grande"
2350000,NA,NA,479,6 ,4 ,3 ,"Laranjeiras, Rio de Janeiro"
2500000,NA,438,215,5 ,3 ,NA,"Laranjeiras, Rio de Janeiro"
1500000,60000,NA,270,5 ,7 ,4 ,"Rua Lagoa Bonita, Vargem Grande"
1150000,NA,3700,330,7 ,8 ,8 ,"Rua Bom Retiro, Jardim Guanabara"
220000,NA,NA,66,2 ,2 ,2 ,"Rua Seabra Filho, Inhoaíba"
1350000,NA,NA,240,6 ,3 ,1 ,"Rua Oliveira da Silva, Tijuca"
1192990,550,NA,180,4 ,5 ,2 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
220000,NA,698,120,4 ,3 ,1 ,"Campo Grande, Rio de Janeiro"
355000,100,NA,128,2 ,2 ,3 ,"Rua Jacinto Figueira Júnior, Campo Grande"
2980000,NA,NA,220,4 ,4 ,2 ,"Urca, Rio de Janeiro"
640000,150,NA,450,3 ,4 ,2 ,"Avenida Tenente-Coronel Muniz de Aragão, Anil"
1100000,840,3843,600,6 ,8 ,4 ,"Rua Professor Sílvio Fialho, Anil"
1300000,1000,NA,220,4 ,4 ,2 ,"Avenida Miguel Antônio Fernandes, Recreio Dos Bandeirantes"
1500000,1400,500,300,5 ,5 ,4 ,"Avenida das Américas, Barra da Tijuca"
949990,550,NA,220,5 ,6 ,4 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
350000,NA,2450,400,4 ,4 ,3 ,"Rua Sambaetiba, Padre Miguel"
2400000,1500,800,320,4 ,6 ,2 ,"Rua Abel da Silva, Barra da Tijuca"
1650000,450,300,292,5 ,7 ,3 ,"Rua Ituverava, Anil"
949990,550,NA,220,5 ,5 ,4 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
176000,NA,NA,70,2 ,2 ,2 ,"Avenida Cesário de Melo, Campo Grande"
180000,NA,NA,57,2 ,1 ,2 ,"Avenida Benedita Martins Siqueira, Jardim Emília"
1580000,NA,NA,287,4 ,5 ,3 ,"Rua da Enseada, Morada da Praia"
850000,350,NA,240,4 ,5 ,3 ,"Rua Lagoa Bonita, Vargem Grande"
14000000,2000,2000,900,5 ,7 ,6 ,"Joá, Rio de Janeiro"
90000,NA,NA,200,2 ,1 ,NA,"Estrada Santa Maria, Campo Grande"
640000,NA,1626,220,4 ,4 ,8 ,"Rua Arriba, Jardim Guanabara"
4400000,NA,7052,419,5 ,9 ,3 ,"Estrada da Canoa, São Conrado"
1950000,800,580,513,4 ,6 ,2 ,"Estrada do Bananal, Freguesia- Jacarepaguá"
360000,NA,NA,90,3 ,4 ,2 ,"Campo Grande, Rio de Janeiro"
1199990,550,NA,167,5 ,6 ,4 ,"Rua Engenheiro Iberê Abreu, Freguesia- Jacarepaguá"
372000,350,360,170,3 ,3 ,5 ,"Rua Célio Fernandes dos Santos Silva, Vargem Pequena"
1300000,900,410,310,4 ,5 ,2 ,"Rua Francisco Mangabeira, Itanhangá"
200000,NA,NA,127,2 ,2 ,1 ,"Quintino Bocaiúva, Rio de Janeiro"
1149200,1520,465,276,4 ,7 ,2 ,"Rua Marcos Paulo, Recreio Dos Bandeirantes"
176000,NA,NA,66,2 ,1 ,NA,"Rua Arapacu, Inhoaíba"
300000,NA,NA,184,2 ,3 ,2 ,"Rua Adjar de Azevedo, Parque Anchieta"
90000,NA,NA,98,3 ,2 ,NA,"Rua Utupeva, Quintino Bocaiúva"
197500,NA,NA,75,2 ,2 ,2 ,"Rua Surucua, Campo Grande"
1149100,1525,465,276,4 ,7 ,2 ,"Rua Marcos Paulo, Recreio Dos Bandeirantes"
2950000,1600,993,487,5 ,7 ,NA,"Rua Senador Generoso Ponce, Barra da Tijuca"
680000,300,NA,200,4 ,5 ,2 ,"Estrada Professor Brant Hora, Guaratiba"
268000,150,100,91,3 ,3 ,1 ,"Rua Henriqueta, Pechincha"
