"","x"
"1","ABEV3"
"2","AZUL4"
"3","B3SA3"
"4","BBAS3"
"5","BBDC3"
"6","BBDC4"
"7","BBSE3"
"8","BOVA11"
"9","BRAP4"
"10","BRFS3"
"11","BRKM5"
"12","BRML3"
"13","CCRO3"
"14","CIEL3"
"15","CMIG4"
"16","COGN3"
"17","CSNA3"
"18","CVCB3"
"19","CYRE3"
"20","ELET3"
"21","ELET6"
"22","EMBR3"
"23","EQTL3"
"24","GGBR4"
"25","GOAU4"
"26","HYPE3"
"27","IRBR3"
"28","ITSA4"
"29","ITUB4"
"30","JBSS3"
"31","LAME4"
"32","LREN3"
"33","MGLU3"
"34","MRFG3"
"35","MULT3"
"36","PETR4"
"37","RADL3"
"38","RAIL3"
"39","SBSP3"
"40","SUZB3"
"41","UGPA3"
"42","USIM5"
"43","VALE3"
"44","VVAR3"
"45","WEGE3"
"46","YDUQ3"
